feature,como_se_calcula,por_que_podria_ser_util
Avg_Duration_per_Page_yeojohnson,Yeo-Johnson(Avg_Duration_per_Page),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
Product_minus_Admin_yeojohnson,Yeo-Johnson(Product_minus_Admin),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
Exit_minus_Bounce_yeojohnson,Yeo-Johnson(Exit_minus_Bounce),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
PageValues_x_ProductRelated_yeojohnson,Yeo-Johnson(PageValues_x_ProductRelated),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
Exit_x_Bounce_yeojohnson,Yeo-Johnson(Exit_x_Bounce),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
Admin_x_Info_yeojohnson,Yeo-Johnson(Admin_x_Info),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
Duration_x_PageValues_yeojohnson,Yeo-Johnson(Duration_x_PageValues),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
IsReturningVisitor_yeojohnson,Yeo-Johnson(IsReturningVisitor),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
IsSpecialDay_yeojohnson,Yeo-Johnson(IsSpecialDay),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
IsWeekend_yeojohnson,Yeo-Johnson(IsWeekend),Reduce asimetría permitiendo ceros y valores no estrictamente positivos.
